mobilenumber,name,city,email,notes
8863953932,Ramana Reddy,Vijayawada,ramana@yahoo.com,Test data entry from Postman
9803453457,Gau4tam Kumar,Chennai,kumar@gmail.com,Test data entry from Postman
8642321341,Janaki Raman,Ram Nagar Kannauj,raman@gmail.com,Test data entry from Postman
8642321342,Janaki Raman Prasad Sharma,Govind Puram,ramanprasad@gmail.com,Updated: Test data entry from Postman
8461213463,Govind Kumar,Ramnujam Nagar,govind@.com,Test data entry from Postman
8642322344,Chandan Kumar,Prem *Nagar,chandan@gmail.com,Test data entry from Postman
8642321145,Rama Devi,Mumbai,rama@gmail.com,Test data entry from Postman
8642321354,Nayana Sahani,Nagpur,nayana@gmail.com,Test data entry from Postman
8642388145,Pritam Kumar,Patna,pritam@gmail.com,Test data entry from Postman
8642321980,Charanjal Das,Delhi,das@gmail.com,Test data entry from Postman
8909521276,sridhar Narayan,hyderabad,sridhar@gmail.com,
7097612766,sridhar kokkirigadda,Warangal,sridhar5@gmail.com,sample Data
7099012766,sridhar Sunkaraboina,Chennai,sridhar56@gmail.com,sample Data
